(0.0230930288312-10.192088611j),(-0.0111318496024-10.3292218586j),(0.0254023291741-11.2112963509j),(-0.0140672048392-10.3448655815j)
(-0.0111318496024-10.3292218586j),(0.0220995036957-10.1882242684j),(-0.0122450333382-11.3621429083j),(-0.00798440532238-10.327415379j)
(0.0254023291741-11.2112963509j),(-0.0122450333382-11.3621429083j),(0.0279425592973-12.0324247528j),(-0.0154739237758-11.3793510017j)
(-0.0140672048392-10.3448655815j),(-0.00798440532238-10.327415379j),(-0.0154739237758-11.3793510017j),(0.0215979172934-10.1884112947j)
