(0.0150960536589+0.119408502815j),(-0.289841214657-0.0347201695169j),(-0.437831133204+0.0553521912143j),(-0.232661792157-0.0256467227998j)
0j,(0.0474945214473+0.236411195908j),(-0.25729263633+0.0203779855858j),(-0.726350468244-0.0208273408416j)
0j,0j,(0.0536441181952-0.526044998388j),(0.842247935092+0.196785736681j)
0j,0j,0j,(0.0739442779477+0.31138332655j)
